Date,Open,High,Low,Close,Volume
2025-03-20,2.6,2.64,2.48,2.51,105122.0
2025-03-21,2.47,2.5251,2.44,2.47,75072.0
2025-03-24,2.48,2.5364,2.43,2.48,128883.0
2025-03-25,2.5,2.5,2.36,2.37,124994.0
2025-03-26,2.37,2.4,2.25,2.25,99294.0
2025-03-27,2.26,2.28,2.17,2.19,140215.0
2025-03-28,2.21,2.21,2.03,2.14,168689.0
2025-03-31,2.05,2.09,1.9,2.03,144401.0
2025-04-01,2.05,2.13,2.0345,2.08,54427.0
2025-04-02,2.03,2.1831,2.03,2.1,82320.0
2025-04-03,1.98,2.0252,1.9,1.98,181499.0
2025-04-04,1.9,1.945,1.78,1.8,186021.0
2025-04-07,1.68,2.005,1.62,1.995,271194.0
2025-04-08,2.0,2.18,1.99,2.17,237011.0
2025-04-09,2.18,2.55,2.04,2.36,320019.0
2025-04-10,2.29,2.53,2.1901,2.505,248426.0
2025-04-11,2.54,2.6,2.38,2.6,244184.0
2025-04-14,2.66,2.8,2.5249,2.77,290861.0
2025-04-15,2.77,2.8464,2.735,2.81,166766.0
2025-04-16,2.77,2.8395,2.65,2.74,152449.0
2025-04-17,2.74,2.74,2.5809,2.61,95749.0
2025-04-21,2.59,2.67,2.5,2.59,177274.0
2025-04-22,2.58,2.75,2.58,2.62,144158.0
2025-04-23,2.7,2.76,2.6645,2.74,71122.0
2025-04-24,2.74,3.0369,2.6666,3.0,253733.0
2025-04-25,2.98,3.05,2.85,2.87,196041.0
2025-04-28,2.84,2.99,2.84,2.94,113185.0
2025-04-29,2.94,3.105,2.91,3.06,306944.0
2025-04-30,2.99,3.25,2.9295,3.22,297438.0
2025-05-01,3.3,3.32,3.06,3.14,277266.0
2025-05-02,3.22,3.37,2.93,3.35,418936.0
2025-05-05,3.33,3.95,3.21,3.68,841019.0
2025-05-06,3.59,3.59,3.33,3.4,317622.0
2025-05-07,3.36,3.579,3.3,3.48,401135.0
2025-05-08,3.58,3.6392,3.33,3.47,320302.0
2025-05-09,3.53,3.57,3.36,3.45,248436.0
2025-05-12,3.6,3.645,3.44,3.53,515264.0
2025-05-13,3.55,3.58,3.42,3.53,260969.0
